pair,pool_id,name,token_id
ERG/sigUSD,9916d75132593c8b07fe18bd8d583bda1652eed7565cf41a4738ddd90fc992ec,sigusd,
ERG/ergopad,d7868533f26db1b1728c1f85c2326a3c0327b57ddab14e41a2b77a5d4c20f4b2,ergopad,d71693c49a84fbbecd4908c94813b46514b18b67a99952dc1e6e4791556de413
ERG/EXLE,a62a1603bae6c0d293f7b954672de6fa8eae9793d433cb02ee49dce736da54ac,exle,007fd64d1ee54d78dd269c8930a38286caa28d3f29d27cadcb796418ab15c283
ERG/Paideia,666be5df835a48b99c40a395a8aa3ea6ce39ede2cd77c02921d629b9baad8200,paideia,1fd6e032e8476c4aa54c18c1a308dce83940e8f4a28f576440513ed7326ad489
ERG/NETA,7d2e28431063cbb1e9e14468facc47b984d962532c19b0b14f74d0ce9ed459be,neta,472c3d4ecaa08fb7392ff041ee2e6af75f4a558810a74b28600549d5392810e8
ERG/SigRSV,1d5afc59838920bb5ef2a8f9d63825a55b1d48e269d7cecee335d637c3ff5f3f,sigrsv,
ERG/Terahertz,0b36eb5086ba1d258341723fa4768acaa3804fba982641a00941d5aad2107f50,terahertz,02f31739e2e4937bb9afb552943753d1e3e9cdd1a5e5661949cb0cef93f907ea
ERG/EGIO,9c1d78e53e7812df96bbb09b757ee1e059c5a298d85789b5c82a7222c34e8f61,egio,00b1e236b60b95c2c6f8007a9d89bc460fc9e78f98b09faec9449007b40bccf3
ERG/COMET,1f01dc8e29806d96ca0b79f8e798cd8cfce51c0e676aaedf6ab3464b37da9dfd,comet,0cd8c9f416e5b1ca9f986a7f10a84191dfb85941619e49e53c0dc30ebf83324b
ERG/Ergold,ea6d2ceff1565ac062cb260f558f1ed492dcd805dcd83fd1ecaf0e0407c8f1ff,ergold,e91cbc48016eb390f8f872aa2962772863e2e840708517d1ab85e57451f91bed
ERG/Mi Goreng,fff5e73c7c8c61335d8c4ab18a2d09029e1c9131ed195c4e0ceccf9dd0c03d7f,migoreng,0779ec04f2fae64e87418a1ad917639d4668f78484f45df962b0dec14a2591d2
ERG/Erdoge,3d4fdb931917647f4755ada29d13247686df84bd8aea060d22584081bd11ba69,erdoge,36aba4b4a97b65be491cf9f5ca57b5408b0da8d0194f30ec8330d1e8946161c1